item_id,level,name,effect_id,effect_value,effect_id2,effect_value2,effect_id3,effect_value3
2001,1,体力増加,hp,100,,,,
2001,2,,hp,200,,,,
2001,3,,hp,300,,,,
2001,4,,hp,400,,,,
2001,5,,hp,500,,,,
2001,6,,hp,600,,,,
2001,7,,hp,700,,,,
2001,8,,hp,800,,,,
2002,1,移動速度増加,speed,100,,,,
2002,2,,speed,200,,,,
2002,3,,speed,300,,,,
2002,4,,speed,350,,,,
2002,5,,speed,400,,,,
2002,6,,speed,450,,,,
2002,7,,speed,550,,,,
2002,8,,speed,600,,,,
2003,1,ノックバック強化,knockback,100,,,,
2003,2,,knockback,200,,,,
2003,3,,knockback,300,,,,
2003,4,,knockback,400,,,,
2003,5,,knockback,500,,,,
2003,6,,knockback,600,,,,
2003,7,,knockback,700,,,,
2003,8,,knockback,800,,,,
