skill_id,category,type,name,type_name,description,atk,speed,cooltime,cooltime_multi,lifetime,projectile,count,size,size_multi,effect_id,effect_value
901,101,0,武器：刀,,,20,1000,2000,1000,1000,1,1,100,1000,0,0
901,101,1,強化：刀,威力UP,刀の威力をUP,1,0,0,1000,0,0,0,0,1000,0,0
901,101,2,強化：刀,攻撃速度UP,刀の攻撃速度をUP,0,0,0,900,0,0,0,0,1000,0,0
901,101,3,強化：刀,範囲UP,刀の攻撃範囲をUP,0,0,0,1000,0,0,0,0,1100,0,0
902,101,0,武器：手裏剣,,手裏剣を取得,20,1000,2000,1000,1000,1,1,100,1000,0,0
902,101,1,強化：手裏剣,テスト強化,テスト強化,1,0,0,900,0,0,0,0,1000,0,0
903,101,0,武器：弓,,弓を取得,20,1000,2000,1000,1000,1,1,100,1000,0,0
903,101,1,強化：弓,テスト強化,テスト強化,1,0,0,900,0,0,0,0,1000,0,0
2001,201,0,体力増加,,最大体力の増加効果を付与する,0,0,0,0,0,0,0,0,0,hp,100
2001,201,1,体力増加,体力増加,最大体力の増加効果を付与する,0,0,0,0,0,0,0,0,0,hp,100
2002,201,0,移動速度増加,,移動速度増加効果を付与する,0,0,0,0,0,0,0,0,0,speed,100
2002,201,1,移動速度増加,移動速度増加,移動速度増加効果を付与する,0,0,0,0,0,0,0,0,0,speed,100
