item_id,level,name,atk,speed,cooltime,lifetime,count,knockback_length,knockback_time
901,1,スラッシュ,20,1000,2000,1000,1,600,200
901,2,,22,1000,1800,1000,1,600,200
901,3,,24,1000,1620,1000,1,600,200
901,4,,26,1000,1458,1000,1,600,200
901,5,,28,1000,1312,1000,1,600,200
901,6,,30,1000,1181,1000,1,600,200
901,7,,32,1000,1063,1000,1,600,200
901,8,,34,1000,957,1000,1,600,200
901,9,,36,1000,861,1000,1,600,200
901,10,,38,1000,775,1000,1,600,200
902,1,ホーミング,10,1000,2000,1000,1,300,100
902,2,,11,1000,1800,1000,1,300,100
902,3,,12,1000,1620,1000,1,300,100
902,4,,13,1000,1458,1000,2,300,100
902,5,,14,1000,1312,1000,2,300,100
902,6,,15,1000,1181,1000,2,300,100
902,7,,16,1000,1063,1000,3,300,100
902,8,,17,1000,957,1000,3,300,100
902,9,,18,1000,861,1000,3,300,100
902,10,,19,1000,775,1000,3,300,100
903,1,火の矢,10,1000,2000,1000,1,300,100
903,2,,11,1000,1800,1000,1,300,100
903,3,,12,1000,1620,1000,1,300,100
903,4,,13,1000,1458,1000,2,300,100
903,5,,14,1000,1312,1000,2,300,100
903,6,,15,1000,1181,1000,2,300,100
903,7,,16,1000,1063,1000,3,300,100
903,8,,17,1000,957,1000,3,300,100
903,9,,18,1000,861,1000,3,300,100
903,10,,19,1000,775,1000,3,300,100
